"Libellé";"Indice des prix à la consommation harmonisé - Base 2025 - Ensemble des ménages - France - Nomenclature Coicop : 00 - Ensemble";"Codes"
"idBank";"011812231";""
"Dernière mise à jour";"27/02/2026 08:45";""
"Période";"";""
"2026-02";"100.35";"P"
"2026-01";"99.59";"A"
"2025-12";"100.0";"A"
"2025-11";"99.92";"A"
"2025-10";"100.12";"A"
"2025-09";"100.03";"A"
"2025-08";"101.1";"A"
"2025-07";"100.62";"A"
"2025-06";"100.33";"A"
"2025-05";"99.91";"A"
"2025-04";"100.09";"A"
"2025-03";"99.44";"A"
"2025-02";"99.24";"A"
"2025-01";"99.19";"A"
"2024-12";"99.35";"A"
"2024-11";"99.14";"A"
"2024-10";"99.28";"A"
"2024-09";"98.97";"A"
"2024-08";"100.27";"A"
"2024-07";"99.68";"A"
"2024-06";"99.48";"A"
"2024-05";"99.32";"A"
"2024-04";"99.18";"A"
"2024-03";"98.57";"A"
"2024-02";"98.33";"A"
"2024-01";"97.41";"A"
"2023-12";"97.64";"A"
"2023-11";"97.5";"A"
"2023-10";"97.74";"A"
"2023-09";"97.57";"A"
"2023-08";"98.13";"A"
"2023-07";"97.06";"A"
"2023-06";"97.01";"A"
"2023-05";"96.81";"A"
"2023-04";"96.88";"A"
"2023-03";"96.25";"A"
"2023-02";"95.27";"A"
"2023-01";"94.2";"A"
"2022-12";"93.79";"A"
"2022-11";"93.88";"A"
"2022-10";"93.49";"A"
"2022-09";"92.34";"A"
"2022-08";"92.81";"A"
"2022-07";"92.38";"A"
"2022-06";"92.1";"A"
"2022-05";"91.32";"A"
"2022-04";"90.64";"A"
"2022-03";"90.22";"A"
"2022-02";"88.8";"A"
"2022-01";"88.01";"A"
"2021-12";"87.87";"A"
"2021-11";"87.67";"A"
"2021-10";"87.31";"A"
"2021-09";"86.93";"A"
"2021-08";"87.1";"A"
"2021-07";"86.51";"A"
"2021-06";"86.45";"A"
"2021-05";"86.3";"A"
"2021-04";"86.01";"A"
"2021-03";"85.83";"A"
"2021-02";"85.24";"A"
"2021-01";"85.22";"A"
"2020-12";"84.99";"A"
"2020-11";"84.79";"A"
"2020-10";"84.6";"A"
"2020-09";"84.62";"A"
"2020-08";"85.1";"A"
"2020-07";"85.19";"A"
"2020-06";"84.85";"A"
"2020-05";"84.78";"A"
"2020-04";"84.64";"A"
"2020-03";"84.66";"A"
"2020-02";"84.6";"A"
"2020-01";"84.58";"A"
"2019-12";"85.01";"A"
"2019-11";"84.6";"A"
"2019-10";"84.54";"A"
"2019-09";"84.61";"A"
"2019-08";"84.93";"A"
"2019-07";"84.48";"A"
"2019-06";"84.67";"A"
"2019-05";"84.43";"A"
"2019-04";"84.32";"A"
"2019-03";"84.02";"A"
"2019-02";"83.29";"A"
"2019-01";"83.2";"A"
"2018-12";"83.66";"A"
"2018-11";"83.58";"A"
"2018-10";"83.77";"A"
"2018-09";"83.67";"A"
"2018-08";"83.86";"A"
"2018-07";"83.42";"A"
"2018-06";"83.53";"A"
"2018-05";"83.51";"A"
"2018-04";"83.12";"A"
"2018-03";"82.96";"A"
"2018-02";"82.02";"A"
"2018-01";"82.02";"A"
"2017-12";"82.1";"A"
"2017-11";"81.81";"A"
"2017-10";"81.73";"A"
"2017-09";"81.63";"A"
"2017-08";"81.76";"A"
"2017-07";"81.3";"A"
"2017-06";"81.64";"A"
"2017-05";"81.65";"A"
"2017-04";"81.63";"A"
"2017-03";"81.55";"A"
"2017-02";"80.95";"A"
"2017-01";"80.83";"A"
"2016-12";"81.09";"A"
"2016-11";"80.81";"A"
"2016-10";"80.8";"A"
"2016-09";"80.77";"A"
"2016-08";"80.96";"A"
"2016-07";"80.68";"A"
"2016-06";"81.01";"A"
"2016-05";"80.89";"A"
"2016-04";"80.51";"A"
"2016-03";"80.43";"A"
"2016-02";"79.81";"A"
"2016-01";"79.58";"A"
"2015-12";"80.44";"A"
"2015-11";"80.26";"A"
"2015-10";"80.42";"A"
"2015-09";"80.36";"A"
"2015-08";"80.65";"A"
"2015-07";"80.36";"A"
"2015-06";"80.76";"A"
"2015-05";"80.81";"A"
"2015-04";"80.61";"A"
