"","annee","remise","trimestre","ipc_moy"
"1",2016,"T1","2016-T1",79.94
"2",2016,"T2","2016-T2",80.8033333333333
"3",2016,"T3","2016-T3",80.8033333333333
"4",2016,"T4","2016-T4",80.9
"5",2017,"T1","2017-T1",81.11
"6",2017,"T2","2017-T2",81.64
"7",2017,"T3","2017-T3",81.5633333333333
"8",2017,"T4","2017-T4",81.88
"9",2018,"T1","2018-T1",82.3333333333333
"10",2018,"T2","2018-T2",83.3866666666667
"11",2018,"T3","2018-T3",83.65
"12",2018,"T4","2018-T4",83.67
"13",2019,"T1","2019-T1",83.5033333333333
"14",2019,"T2","2019-T2",84.4733333333333
"15",2019,"T3","2019-T3",84.6733333333333
"16",2019,"T4","2019-T4",84.7166666666667
"17",2020,"T1","2020-T1",84.6133333333333
"18",2020,"T2","2020-T2",84.7566666666667
"19",2020,"T3","2020-T3",84.97
"20",2020,"T4","2020-T4",84.7933333333333
"21",2021,"T1","2021-T1",85.43
"22",2021,"T2","2021-T2",86.2533333333333
"23",2021,"T3","2021-T3",86.8466666666667
"24",2021,"T4","2021-T4",87.6166666666667
"25",2022,"T1","2022-T1",89.01
"26",2022,"T2","2022-T2",91.3533333333333
"27",2022,"T3","2022-T3",92.51
"28",2022,"T4","2022-T4",93.72
"29",2023,"T1","2023-T1",95.24
"30",2023,"T2","2023-T2",96.9
"31",2023,"T3","2023-T3",97.5866666666667
"32",2023,"T4","2023-T4",97.6266666666667
"33",2024,"T1","2024-T1",98.1033333333333
"34",2024,"T2","2024-T2",99.3266666666667
"35",2024,"T3","2024-T3",99.64
"36",2024,"T4","2024-T4",99.2566666666667
"37",2025,"T1","2025-T1",99.29
"38",2025,"T2","2025-T2",100.11
"39",2025,"T3","2025-T3",100.583333333333
"40",2025,"T4","2025-T4",100.013333333333
