Annee,Remise,Nature_Group,Variable,Moyenne_Ajustee.x,total_ajuste.x,Moyenne_Ajustee.y,total_ajuste.y
2016,T1,Non Vie,SCR,655411823.7,22939413831,655411823.7,22939413831
2016,T1,Vie,SCR,2130918902,53272972550,2130918902,53272972550
2016,T2,Non Vie,SCR,662306067.2,23843018418,662306067.2,23843018418
2016,T2,Vie,SCR,2173055108,54326377708,2173055108,54326377708
2016,T3,Non Vie,SCR,658484110.5,23705427977,658484110.5,23705427977
2016,T3,Vie,SCR,2257209173,56430229318,2257209173,56430229318
2016,T4,Non Vie,SCR,658215596.4,23695761471,598311293.3,20940895265
2016,T4,Vie,SCR,2032549726,56911392326,1957587800,52854870589
2017,T1,Non Vie,SCR,274017564.4,35622283371,274017564.4,35622283371
2017,T1,Vie,SCR,909377698.2,69112705061,909377698.2,69112705061
2017,T2,Non Vie,SCR,273961929.4,35615050818,273961929.4,35615050818
2017,T2,Vie,SCR,881413465,66987423342,881413465,66987423342
2017,T3,Non Vie,SCR,275025900.1,35753367017,274719483.2,35713532815
2017,T3,Vie,SCR,867750686.8,65949052199,869457217.4,66078748526
2017,T4,Non Vie,SCR,293816192.6,38783737428,293885777.2,38792922587
2017,T4,Vie,SCR,944182550,74590421454,943978688,74574316351
2018,T1,Non Vie,SCR,302605483,42062162137,302605483,42062162137
2018,T1,Vie,SCR,944158222.8,73644341382,944158222.8,73644341382
2018,T2,Non Vie,SCR,291156358.5,40470733831,292015855.5,40590203913
2018,T2,Vie,SCR,948258933.4,73964196802,948028963.1,73946259123
2018,T3,Non Vie,SCR,291473908,40514873211,292114568.4,40603925006
2018,T3,Vie,SCR,956647771.1,74618526145,956416273.1,74600469299
2018,T4,Non Vie,SCR,288355066.1,40081354185,288492918.7,40100515694
2018,T4,Vie,SCR,943396049.6,73584891872,943171892.1,73567407582
2019,T1,Non Vie,SCR,292665244.4,41265799458,292665244.4,41265799458
2019,T1,Vie,SCR,993157681.9,76473141505,993157681.9,76473141505
2019,T2,Non Vie,SCR,297693229.1,41974745304,297536810,41952690207
2019,T2,Vie,SCR,1042910488,80304107559,1042910488,80304107559
2019,T3,Non Vie,SCR,302048831.7,42588885277,301890124,42566507488
2019,T3,Vie,SCR,1077652163,82979216559,1077652163,82979216559
2019,T4,Non Vie,SCR,311046927.2,43857616737,311155506.6,43872926429
