Annee,Remise,pib
2025,T4,662177
2025,T3,660988
2025,T2,657588
2025,T1,655580
2024,T4,654964
2024,T3,654957
2024,T2,652574
2024,T1,651301
2023,T4,650585
2023,T3,647707
2023,T2,646299
2023,T1,640567
2022,T4,640130
2022,T3,637718
2022,T2,634404
2022,T1,631673
2021,T4,632254
2021,T3,628756
2021,T2,610499
2021,T1,603201
2020,T4,600728
2020,T3,601329
2020,T2,521283
2020,T1,593918
2019,T4,625492
2019,T3,628587
2019,T2,628656
2019,T1,625202
2018,T4,619435
2018,T3,614867
2018,T2,611885
2018,T1,610313
2017,T4,610545
2017,T3,606879
2017,T2,602595
2017,T1,598035
2016,T4,594019
2016,T3,590305
2016,T2,589494
2016,T1,590586
