"Annee","Remise","Nature_Group","Variable","Moyenne_Ajustee","total_ajuste"
2016,"T1","Non Vie","SCR",655411823.733317,22939413830.6661
2016,"T1","Vie","SCR",2130918902.01952,53272972550.488
2016,"T2","Non Vie","SCR",662306067.168328,23843018418.0598
2016,"T2","Vie","SCR",2173055108.31962,54326377707.9904
2016,"T3","Non Vie","SCR",658484110.462709,23705427976.6575
2016,"T3","Vie","SCR",2257209172.73091,56430229318.2728
2016,"T4","Non Vie","SCR",658215596.420261,23695761471.1294
2016,"T4","Vie","SCR",2032549725.91322,56911392325.5702
2017,"T1","Non Vie","SCR",274017564.391238,35622283370.8609
2017,"T1","Vie","SCR",909377698.175183,69112705061.3139
2017,"T2","Non Vie","SCR",273961929.370129,35615050818.1168
2017,"T2","Vie","SCR",881413465.022607,66987423341.7181
2017,"T3","Non Vie","SCR",275025900.131911,35753367017.1484
2017,"T3","Vie","SCR",867750686.825195,65949052198.7149
2017,"T4","Non Vie","SCR",293816192.63793,38783737428.2068
2017,"T4","Vie","SCR",944182550.047127,74590421453.723
2018,"T1","Non Vie","SCR",302605483.001633,42062162137.227
2018,"T1","Vie","SCR",944158222.843614,73644341381.8019
2018,"T2","Non Vie","SCR",291156358.498552,40470733831.2987
2018,"T2","Vie","SCR",948258933.364825,73964196802.4563
2018,"T3","Non Vie","SCR",291473907.989954,40514873210.6036
2018,"T3","Vie","SCR",956647771.092509,74618526145.2157
2018,"T4","Non Vie","SCR",288355066.076125,40081354184.5813
2018,"T4","Vie","SCR",943396049.647255,73584891872.4859
2019,"T1","Non Vie","SCR",292665244.384466,41265799458.2097
2019,"T1","Vie","SCR",993157681.879458,76473141504.7183
2019,"T2","Non Vie","SCR",297693229.106945,41974745304.0793
2019,"T2","Vie","SCR",1042910487.77561,80304107558.7219
2019,"T3","Non Vie","SCR",302048831.748284,42588885276.508
2019,"T3","Vie","SCR",1077652163.09836,82979216558.5734
2019,"T4","Non Vie","SCR",311046927.216074,43857616737.4665
2019,"T4","Vie","SCR",1022605641.97553,78740634432.1157
2020,"T1","Non Vie","SCR",320785993.22895,44268467065.5951
2020,"T1","Vie","SCR",1045708988.70938,80519592130.6224
2020,"T2","Non Vie","SCR",330878144.824518,45661183985.7835
2020,"T2","Vie","SCR",1108875655.37696,85383425464.0259
2020,"T3","Non Vie","SCR",329866528.873561,45521580984.5514
2020,"T3","Vie","SCR",1111019301.64817,85548486226.909
2020,"T4","Non Vie","SCR",339213698.720173,46811490423.3839
2020,"T4","Vie","SCR",1160443936.13244,89354183082.198
2021,"T1","Non Vie","SCR",357940425.832024,47964017061.4912
2021,"T1","Vie","SCR",1143799259.09889,90360141468.8123
2021,"T2","Non Vie","SCR",364326910.375099,48819805990.2633
2021,"T2","Vie","SCR",1167892377.19533,92263497798.4313
2021,"T3","Non Vie","SCR",377717878.860547,50614195767.3134
2021,"T3","Vie","SCR",1166209858.69442,92130578836.859
2021,"T4","Non Vie","SCR",381381592.919894,51105133451.2659
2021,"T4","Vie","SCR",1185400800.79624,93646663262.9032
2022,"T1","Non Vie","SCR",396442313.907735,51141058494.0978
2022,"T1","Vie","SCR",1134804954.06608,86245176509.0217
2022,"T2","Non Vie","SCR",378779667.690666,49241356799.7865
2022,"T2","Vie","SCR",1114443072.63256,84697673520.0746
2022,"T3","Non Vie","SCR",377524123.587772,49078136066.4104
2022,"T3","Vie","SCR",1123462178.44519,85383125561.8342
2022,"T4","Non Vie","SCR",391010046.373362,50831306028.5371
2022,"T4","Vie","SCR",1073927820.66667,81618514370.6672
2023,"T1","Non Vie","SCR",401630714.044643,50605469969.625
2023,"T1","Vie","SCR",1066898309.75334,81084271541.2535
2023,"T2","Non Vie","SCR",402978900.912378,51178320415.872
2023,"T2","Vie","SCR",1059901847.57694,80552540415.8476
2023,"T3","Non Vie","SCR",403579667.176867,51254617731.4621
2023,"T3","Vie","SCR",1068357081.18715,81195138170.2236
2023,"T4","Non Vie","SCR",416612198.349317,52909749190.3632
2023,"T4","Vie","SCR",1013768867.52432,77046433931.8484
2024,"T1","Non Vie","SCR",417019648.428229,53795534647.2415
2024,"T1","Vie","SCR",1043452073.82723,79302357610.8692
2024,"T2","Non Vie","SCR",416353886.154046,53709651313.8719
2024,"T2","Vie","SCR",1045735089.52458,79475866803.8681
2024,"T3","Non Vie","SCR",420369669.128569,54227687317.5854
2024,"T3","Vie","SCR",1057891888.0747,80399783493.6774
2024,"T4","Non Vie","SCR",421803195.972698,54412612280.478
2024,"T4","Vie","SCR",1066131832.41084,81026019263.2237
2025,"T1","Non Vie","SCR",433745389.164884,55519409813.1051
2025,"T1","Vie","SCR",1064455016.15936,81963036244.2708
2025,"T2","Non Vie","SCR",438830395.459272,56170290618.7869
2025,"T2","Vie","SCR",1067670612.26221,82210637144.1904
2025,"T3","Non Vie","SCR",435886055.354319,55793415085.3529
2025,"T3","Vie","SCR",1079309561.13582,83106836207.4579
2016,"T1","Non Vie","FONDS PROPRES",1757650555.41485,61517769439.5198
2016,"T1","Vie","FONDS PROPRES",3744666283.4379,93616657085.9474
2016,"T2","Non Vie","FONDS PROPRES",1784742435.43373,64250727675.6143
2016,"T2","Vie","FONDS PROPRES",3918578587.27758,97964464681.9394
2016,"T3","Non Vie","FONDS PROPRES",1803560270.93983,64928169753.8339
2016,"T3","Vie","FONDS PROPRES",3902732473.29132,97568311832.2831
2016,"T4","Non Vie","FONDS PROPRES",1898595891.18646,68349452082.7126
2016,"T4","Vie","FONDS PROPRES",3913619273.53771,109581339659.056
2017,"T1","Non Vie","FONDS PROPRES",758962278.64483,97906133945.1831
2017,"T1","Vie","FONDS PROPRES",1780624014.27046,135327425084.555
2017,"T2","Non Vie","FONDS PROPRES",771721175.214229,99552031602.6356
2017,"T2","Vie","FONDS PROPRES",1863414122.04982,141619473275.786
2017,"T3","Non Vie","FONDS PROPRES",785771395.59,101364510031.11
2017,"T3","Vie","FONDS PROPRES",1920577382.61807,145963881078.973
2017,"T4","Non Vie","FONDS PROPRES",816655959.064603,106981930637.463
2017,"T4","Vie","FONDS PROPRES",1992079515.06361,157374281690.026
2018,"T1","Non Vie","FONDS PROPRES",796619941.960683,109933551990.574
2018,"T1","Vie","FONDS PROPRES",2092765637.46507,161142954084.81
2018,"T2","Non Vie","FONDS PROPRES",794026322.58329,109575632516.494
2018,"T2","Vie","FONDS PROPRES",2118581529.91697,163130777803.607
2018,"T3","Non Vie","FONDS PROPRES",806956008.806936,111359929215.357
2018,"T3","Vie","FONDS PROPRES",2140656104.89946,164830520077.258
2018,"T4","Non Vie","FONDS PROPRES",805213984.530769,111119529865.246
2018,"T4","Vie","FONDS PROPRES",2047465451.77137,157654839786.396
2019,"T1","Non Vie","FONDS PROPRES",810248643.090748,114245058675.795
2019,"T1","Vie","FONDS PROPRES",2030425555.74337,156342767792.239
2019,"T2","Non Vie","FONDS PROPRES",820026201.456964,115623694405.432
2019,"T2","Vie","FONDS PROPRES",1955258634.73284,150554914874.429
2019,"T3","Non Vie","FONDS PROPRES",819901707.204767,115606140715.872
2019,"T3","Vie","FONDS PROPRES",1870977929.22578,144065300550.385
2019,"T4","Non Vie","FONDS PROPRES",870875084.900365,122793386970.951
2019,"T4","Vie","FONDS PROPRES",2639949997.37958,203276149798.228
2020,"T1","Non Vie","FONDS PROPRES",813549519.650355,113083383231.399
2020,"T1","Vie","FONDS PROPRES",2434956643.5962,187491661556.907
2020,"T2","Non Vie","FONDS PROPRES",836367466.875408,116255077895.682
2020,"T2","Vie","FONDS PROPRES",2464040617.41676,189731127541.09
2020,"T3","Non Vie","FONDS PROPRES",842326188.726891,117083340233.038
2020,"T3","Vie","FONDS PROPRES",2427747934.15281,186936590929.767
